,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-07-25,0.11093799769878387,0.11249999701976776,0.11093799769878387,0.11145800352096558,0.11145800352096558,12408000,AMZN,0.90681946,0.10572899878025055,-0.005729004740715027,0.0
1997-07-28,0.11145800352096558,0.11979199945926666,0.11093799769878387,0.11614599823951721,0.11614599823951721,51480000,AMZN,0.9230326,0.10208299756050108,-0.014063000679016127,0.0
1997-08-08,0.10833299905061722,0.11510399729013443,0.10520800203084946,0.11458300054073334,0.11458300054073334,44232000,AMZN,0.7086101,0.11692699790000916,0.002343997359275818,0.0
1997-08-18,0.10260400176048279,0.10260400176048279,0.09843800216913223,0.1020829975605011,0.1020829975605011,35688000,AMZN,0.77117544,0.16197900474071503,0.05989600718021393,0.0
1997-08-25,0.10520800203084946,0.11302100121974945,0.10520800203084946,0.11093799769878387,0.11093799769878387,22536000,AMZN,0.8333156,0.16770799458026886,0.056769996881484985,0.0
1997-09-09,0.15703099966049194,0.16927100718021393,0.15130199491977692,0.16197900474071503,0.16197900474071503,179424000,AMZN,0.60921085,0.2169270068407059,0.05494800209999087,0.0
1997-09-11,0.16666699945926666,0.16666699945926666,0.15208299458026886,0.15781299769878387,0.15781299769878387,85248000,AMZN,0.6034498,0.20052100718021393,0.042708009481430054,0.0
1997-09-23,0.22447900474071503,0.23229199647903442,0.21979199349880219,0.23125000298023224,0.23125000298023224,153648000,AMZN,0.7647169,0.19895799458026886,-0.03229200839996338,0.0
1997-09-26,0.2036460041999817,0.21302099525928497,0.2026039958000183,0.20833300054073334,0.20833300054073334,54624000,AMZN,0.8973539,0.18125000596046448,-0.02708299458026886,0.0
1997-10-06,0.20000000298023224,0.20624999701976776,0.19713500142097473,0.20624999701976776,0.20624999701976776,40560000,AMZN,0.9866762,0.2135419994592667,0.007292002439498929,0.0
1997-10-09,0.20000000298023224,0.20104199647903442,0.1869789958000183,0.1875,0.1875,79008000,AMZN,0.84689975,0.2562499940395355,0.06874999403953552,0.0
1997-10-10,0.18645800650119781,0.203125,0.18333299458026886,0.19505199790000916,0.19505199790000916,75744000,AMZN,0.7554626,0.25416699051856995,0.05911499261856079,0.0
1997-10-14,0.203125,0.20520800352096558,0.19166700541973114,0.19895799458026886,0.19895799458026886,30936000,AMZN,0.87929267,0.24791699647903442,0.048959001898765564,0.0
1997-10-15,0.19843800365924835,0.19843800365924835,0.18854199349880219,0.19609400629997253,0.19609400629997253,47112000,AMZN,0.9763825,0.24375000596046448,0.04765599966049194,0.0
1997-10-16,0.19895799458026886,0.19895799458026886,0.1802079975605011,0.18125000596046448,0.18125000596046448,69624000,AMZN,1.0236435,0.2330729961395264,0.05182299017906192,0.0
